"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"BMU","North America","Bermuda","19/03/20",2,2,NA,NA,NA,NA,31.16,31.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","20/03/20",2,0,NA,NA,NA,NA,31.16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","21/03/20",2,0,NA,NA,NA,NA,31.16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","22/03/20",6,4,NA,NA,NA,NA,93.48,62.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","23/03/20",6,0,NA,NA,NA,NA,93.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","24/03/20",6,0,0.857,NA,NA,NA,93.48,0,13.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","25/03/20",7,1,1,NA,NA,NA,109.06,15.58,15.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.44,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","26/03/20",15,8,1.857,NA,NA,NA,233.699,124.64,28.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.15,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","27/03/20",17,2,2.143,NA,NA,NA,264.859,31.16,33.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.15,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
"BMU","North America","Bermuda","28/03/20",17,0,2.143,NA,NA,NA,264.859,0,33.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.15,64185,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA,NA,NA,NA,NA
