"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"ISL","Europe","Iceland","28/02/20",1,1,NA,NA,NA,NA,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,13,13,0.035,0.035,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","29/02/20",1,0,NA,NA,NA,NA,2.7,0,NA,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,45,32,0.122,0.087,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","01/03/20",3,2,NA,NA,NA,NA,8.101,5.401,NA,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,67,22,0.182,0.06,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,25.7,6.13,-2.93,69.39662738
"ISL","Europe","Iceland","02/03/20",6,3,NA,NA,NA,NA,16.202,8.101,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,115,48,0.312,0.13,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","03/03/20",11,5,NA,NA,NA,NA,29.703,13.501,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,160,45,0.434,0.122,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","04/03/20",26,15,3.714,NA,NA,NA,70.207,40.504,10.03,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,241,81,0.653,0.22,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","05/03/20",34,8,4.857,NA,NA,NA,91.809,21.602,13.116,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,303,62,0.822,0.168,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","06/03/20",43,9,6,NA,NA,NA,116.111,24.302,16.202,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,360,57,0.976,0.155,50,0.136,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","07/03/20",50,7,7,NA,NA,NA,135.013,18.902,18.902,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,418,58,1.133,0.157,53,0.144,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,NA,NA,NA,NA
"ISL","Europe","Iceland","08/03/20",50,0,6.714,NA,NA,NA,135.013,0,18.13,NA,NA,NA,NA,NA,NA,1,2.7,NA,NA,NA,NA,455,37,1.234,0.1,55,0.149,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,370335,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949,30.6,6.59,10.86,82.62789096
