"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"JAM","North America","Jamaica","11/03/20",1,1,NA,NA,NA,NA,0.354,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","12/03/20",2,1,NA,NA,NA,NA,0.707,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","13/03/20",8,6,NA,NA,NA,NA,2.829,2.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","14/03/20",8,0,NA,NA,NA,NA,2.829,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","15/03/20",10,2,NA,NA,NA,NA,3.536,0.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","16/03/20",10,0,1.429,NA,NA,NA,3.536,0,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","17/03/20",12,2,1.714,NA,NA,NA,4.244,0.707,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.26,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","18/03/20",13,1,1.714,NA,NA,NA,4.597,0.354,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","19/03/20",15,2,1.857,1,1,NA,5.305,0.707,0.657,0.354,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
"JAM","North America","Jamaica","20/03/20",16,1,1.143,1,0,NA,5.658,0.354,0.404,0.354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,2827694,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,NA,NA,NA,NA
