"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"KAZ","Asia","Kazakhstan","13/03/20",4,4,NA,NA,NA,NA,0.208,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,0.007,NA,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","14/03/20",6,2,NA,NA,NA,NA,0.313,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,319,0.023,0.017,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","15/03/20",9,3,NA,NA,NA,NA,0.469,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,207,0.034,0.011,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","16/03/20",10,1,NA,NA,NA,NA,0.521,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038,386,0.055,0.02,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","17/03/20",33,23,NA,NA,NA,NA,1.719,1.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,932,0.104,0.049,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","18/03/20",35,2,5,NA,NA,NA,1.823,0.104,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234,264,0.118,0.014,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","19/03/20",44,9,6.286,NA,NA,NA,2.292,0.469,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3284,1050,0.173,0.055,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","20/03/20",49,5,6.429,NA,NA,NA,2.553,0.26,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100,816,0.216,0.043,568,0.03,0.0113,88.3,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","21/03/20",53,4,6.714,NA,NA,NA,2.761,0.208,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5275,1175,0.278,0.062,690,0.036,0.0097,102.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
"KAZ","Asia","Kazakhstan","22/03/20",61,8,7.429,NA,NA,NA,3.178,0.417,0.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6508,1233,0.343,0.065,837,0.044,0.0089,112.7,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,NA,NA,NA,NA
