"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"KWT","Asia","Kuwait","24/02/20",1,1,NA,NA,NA,NA,0.235,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","25/02/20",11,10,NA,NA,NA,NA,2.588,2.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","26/02/20",26,15,NA,NA,NA,NA,6.117,3.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","27/02/20",43,17,NA,NA,NA,NA,10.117,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","28/02/20",45,2,NA,NA,NA,NA,10.588,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","29/02/20",45,0,6.429,NA,NA,NA,10.588,0,1.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,-113.6,-8.61,1.54,-26.72869481
"KWT","Asia","Kuwait","01/03/20",45,0,6.429,NA,NA,NA,10.588,0,1.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.78,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","02/03/20",56,11,7.857,NA,NA,NA,13.176,2.588,1.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.78,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","03/03/20",56,0,6.429,NA,NA,NA,13.176,0,1.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.78,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
"KWT","Asia","Kuwait","04/03/20",56,0,4.286,NA,NA,NA,13.176,0,1.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.78,4250114,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806,NA,NA,NA,NA
