"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"LVA","Europe","Latvia","06/01/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","18/01/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","12/02/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","29/02/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,116,0.062,0.062,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","01/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,126,10,0.067,0.005,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,-476,-8.71,-15.94,-254.0131137
"LVA","Europe","Latvia","02/03/20",1,1,NA,NA,NA,NA,0.534,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,37,0.087,0.02,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","03/03/20",1,0,NA,NA,NA,NA,0.534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,41,0.109,0.022,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","04/03/20",1,0,NA,NA,NA,NA,0.534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,36,0.129,0.019,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","05/03/20",1,0,NA,NA,NA,NA,0.534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,35,0.147,0.019,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","06/03/20",1,0,NA,NA,NA,NA,0.534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,32,0.164,0.017,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
"LVA","Europe","Latvia","07/03/20",1,0,0.143,NA,NA,NA,0.534,0,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,14,0.172,0.007,29,0.016,0.0049,202.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,1873919,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866,NA,NA,NA,NA
