"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"MAC","Asia","Macao","22/01/20",1,NA,NA,NA,NA,NA,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","23/01/20",2,1,NA,NA,NA,NA,2.913,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","24/01/20",2,0,NA,NA,NA,NA,2.913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","25/01/20",2,0,NA,NA,NA,NA,2.913,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","26/01/20",5,3,NA,NA,NA,NA,7.282,4.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","27/01/20",6,1,NA,NA,NA,NA,8.739,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","28/01/20",7,1,0.857,NA,NA,NA,10.195,1.456,1.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","29/01/20",7,0,0.857,NA,NA,NA,10.195,0,1.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","30/01/20",7,0,0.714,NA,NA,NA,10.195,0,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","31/01/20",7,0,0.714,NA,NA,NA,10.195,0,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,-5,-2.43,-2.43,-7.282186171
"MAC","Asia","Macao","01/02/20",7,0,0.714,NA,NA,NA,10.195,0,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","02/02/20",8,1,0.429,NA,NA,NA,11.651,1.456,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","03/02/20",8,0,0.286,NA,NA,NA,11.651,0,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
"MAC","Asia","Macao","04/02/20",10,2,0.429,NA,NA,NA,14.564,2.913,0.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52,686607,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA,NA,NA,NA,NA
