"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"MUS","Africa","Mauritius","18/03/20",3,3,NA,NA,NA,NA,2.31,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","19/03/20",3,0,NA,NA,NA,NA,2.31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","20/03/20",7,4,NA,NA,NA,NA,5.389,3.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","21/03/20",12,5,NA,NA,NA,NA,9.238,3.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","22/03/20",14,2,NA,NA,NA,NA,10.778,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","23/03/20",24,10,3.429,NA,NA,NA,18.477,7.699,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","24/03/20",36,12,5.143,NA,NA,NA,27.715,9.238,3.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","25/03/20",42,6,5.571,2,2,NA,32.335,4.619,4.289,1.54,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","26/03/20",48,6,6.429,2,0,NA,36.954,4.619,4.949,1.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","27/03/20",82,34,10.714,2,0,NA,63.13,26.176,8.249,1.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","28/03/20",94,12,11.714,2,0,NA,72.368,9.238,9.019,1.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","29/03/20",102,8,12.571,2,0,NA,78.527,6.159,9.678,1.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","30/03/20",107,5,11.857,2,0,0.286,82.376,3.849,9.128,1.54,0,0.22,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
"MUS","Africa","Mauritius","31/03/20",125,18,12.714,3,1,0.429,96.234,13.858,9.788,2.31,0.77,0.33,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,-97.3,-3.43,-4.65,-74.90867378
"MUS","Africa","Mauritius","01/04/20",143,18,14.429,5,2,0.429,110.092,13.858,11.108,3.849,1.54,0.33,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.41,1298915,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804,NA,NA,NA,NA
