"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"NCL","Oceania","New Caledonia","19/03/20",2,2,NA,NA,NA,NA,6.949,6.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","20/03/20",2,0,NA,NA,NA,NA,6.949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","21/03/20",4,2,NA,NA,NA,NA,13.899,6.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","22/03/20",4,0,NA,NA,NA,NA,13.899,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","23/03/20",8,4,NA,NA,NA,NA,27.797,13.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","24/03/20",10,2,1.429,NA,NA,NA,34.746,6.949,4.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","25/03/20",14,4,2,NA,NA,NA,48.645,13.899,6.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","26/03/20",14,0,1.714,NA,NA,NA,48.645,0,5.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","27/03/20",15,1,1.857,NA,NA,NA,52.12,3.475,6.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","28/03/20",15,0,1.571,NA,NA,NA,52.12,0,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","29/03/20",15,0,1.571,NA,NA,NA,52.12,0,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","30/03/20",15,0,1,NA,NA,NA,52.12,0,3.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","31/03/20",16,1,0.857,NA,NA,NA,55.594,3.475,2.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,27,6.85,9.72,93.81514941
"NCL","Oceania","New Caledonia","01/04/20",16,0,0.286,NA,NA,NA,55.594,0,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","02/04/20",18,2,0.571,NA,NA,NA,62.543,6.949,1.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","03/04/20",18,0,0.429,NA,NA,NA,62.543,0,1.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","04/04/20",17,NA,NA,NA,NA,NA,59.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
"NCL","Oceania","New Caledonia","05/04/20",18,1,0.571,NA,NA,NA,62.543,3.475,1.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287800,15.342,33.4,9.954,6.489,NA,NA,NA,23.36,NA,NA,NA,NA,77.55,NA,NA,NA,NA,NA
