"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"NIU","Oceania","Niue","21/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","22/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","23/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","24/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","25/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","26/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","27/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","28/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,87,NA,NA,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","29/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",698,698,NA,NA,NA,87,36.04,36.04,NA,NA,44915,87,4.491,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","30/06/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,85,NA,NA,NA,NA,43882,85,4.388,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","01/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,83,NA,NA,NA,NA,42850,82,4.233,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","02/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,82,NA,NA,NA,NA,42334,80,4.13,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","03/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,80,NA,NA,NA,NA,41301,77,3.975,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","04/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,78,NA,NA,NA,NA,40268,75,3.872,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","05/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,76,NA,NA,NA,NA,39236,72,3.717,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","06/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1216,1184,32,NA,NA,74,62.78,61.13,1.65,NA,38203,69,3.562,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","07/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,69,NA,NA,NA,NA,35622,60,3.098,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","08/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,65,NA,NA,NA,NA,33557,50,2.581,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","09/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,60,NA,NA,NA,NA,30976,40,2.065,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","10/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,56,NA,NA,NA,NA,28911,30,1.549,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","11/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,51,NA,NA,NA,NA,26329,20,1.033,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","12/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,47,NA,NA,NA,NA,24264,10,0.516,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","13/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","14/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","15/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","16/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","17/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","18/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","19/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","20/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
"NIU","Oceania","Niue","21/07/21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,21683,1,0.052,NA,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.71,NA,NA,NA,NA,NA
