"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"PRI","North America","Puerto Rico","01/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,-211.2,-3.75,3.82,-64.86430706
"PRI","North America","Puerto Rico","02/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,0.002,0.002,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","03/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9,0.005,0.003,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","04/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,16,0.011,0.006,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","05/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,13,0.016,0.005,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","06/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,7,0.018,0.002,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","07/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,2,0.019,0.001,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","08/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,4,0.02,0.001,8,0.003,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,-169.6,-2.73,7.22,-52.08800416
"PRI","North America","Puerto Rico","09/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,5,0.022,0.002,8,0.003,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
"PRI","North America","Puerto Rico","10/03/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,13,0.027,0.005,9,0.003,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256028,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA,NA,NA,NA,NA
