"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million"
"ROU","Europe","Romania","26/02/20",1,1,NA,NA,NA,NA,0.052,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","27/02/20",1,0,NA,NA,NA,NA,0.052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","28/02/20",3,2,NA,NA,NA,NA,0.155,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","29/02/20",3,0,NA,NA,NA,NA,0.155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","01/03/20",3,0,NA,NA,NA,NA,0.155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,-3543.1,-6.84,-5.53,-183.3090515
"ROU","Europe","Romania","02/03/20",3,0,0.429,NA,NA,NA,0.155,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","03/03/20",3,0,0.429,NA,NA,NA,0.155,0,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","04/03/20",4,1,0.429,NA,NA,NA,0.207,0.052,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","05/03/20",6,2,0.714,NA,NA,NA,0.31,0.103,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
"ROU","Europe","Romania","06/03/20",9,3,0.857,NA,NA,NA,0.466,0.155,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,19328560,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA,NA
